adult,backdrop_path,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genres,tmdbUrl
FALSE,/6mJrgL7Mi13XjJeGYJFlD6UEVQw.jpg,en,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",127.48,/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg,2021-12-01,Sing 2,FALSE,7.9,4138,"Animation,Family,Music,Comedy",https://www.themoviedb.org/movie/438695
FALSE,/yqnC3Mp5SL2bpo4bBwtoxyu2E6J.jpg,en,Ciao Alberto,"With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimo – the imposing, tattooed, one-armed fisherman of few words – who's quite possibly the coolest human in the entire world as far as Alberto is concerned. He wants more than anything to impress his mentor, but it's easier said than done.",23.327,/1SyTnaY0wte69oKdqxQLvxPT3hs.jpg,2021-11-12,Ciao Alberto,FALSE,7.4,640,"Animation,Comedy,Family,Fantasy",https://www.themoviedb.org/movie/876716
FALSE,/1Wlwnhn5sXUIwlxpJgWszT622PS.jpg,en,Clifford the Big Red Dog,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",51.96,/oifhfVhUcuDjE61V5bS5dfShQrm.jpg,2021-11-10,Clifford the Big Red Dog,FALSE,7.193,1659,"Family,Adventure,Comedy,Fantasy,Animation",https://www.themoviedb.org/movie/585245
FALSE,/3G1Q5xF40HkUBJXxt2DQgQzKTp5.jpg,en,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",141.343,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,2021-10-13,Encanto,FALSE,7.607,9062,"Animation,Comedy,Family,Fantasy",https://www.themoviedb.org/movie/568124
FALSE,/q4h2ZbhHKhnWvrrqzcjT778zlbn.jpg,en,Injustice,"When Lois Lane is killed, an unhinged Superman decides to take control of the Earth. Determined to stop him, Batman creates a team of freedom-fighting heroes. But when superheroes go to war, can the world survive?",37.307,/rzrSeqqpm1BwJ3tcTznztBtLLSD.jpg,2021-10-09,Injustice,FALSE,7.42,742,"Animation,Science Fiction,Fantasy,Action",https://www.themoviedb.org/movie/831405
FALSE,/sdL37sfUBth7mdkAolI83bXAl7L.jpg,en,Ron's Gone Wrong,"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",39.632,/plzgQAXIEHm4Y92ktxU6fedUc0x.jpg,2021-10-14,Ron's Gone Wrong,FALSE,7.933,1737,"Animation,Science Fiction,Family,Comedy",https://www.themoviedb.org/movie/482321
FALSE,/9e6wp707XMouPG939o2fHunXXJR.jpg,en,The Addams Family 2,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,48.56,/ld7YB9vBRp1GM1DT3KmFWSmtBPB.jpg,2021-10-01,The Addams Family 2,FALSE,7.017,1214,"Family,Animation,Comedy,Fantasy,Adventure",https://www.themoviedb.org/movie/639721
FALSE,/orGlr1vHTgbDkGJPwuBjd8ncVjQ.jpg,en,The Witcher: Nightmare of the Wolf,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",34.876,/3sLz2yv6vBDWqBbd8rdnNeoJ2kJ.jpg,2021-08-23,The Witcher: Nightmare of the Wolf,FALSE,7.523,884,"Animation,Action,Fantasy",https://www.themoviedb.org/movie/666243
FALSE,/a17F3zXnmuwqxfiDa46mtlosjrv.jpg,en,PAW Patrol: The Movie,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,97.456,/ic0intvXZSfBlYPIvWXpU1ivUCO.jpg,2021-08-09,PAW Patrol: The Movie,FALSE,7.411,1187,"Animation,Family,Adventure,Comedy",https://www.themoviedb.org/movie/675445
FALSE,/2BftdeCkD7uf68KUxaKRBxtsmZZ.jpg,en,Vivo,A music-loving kinkajou named Vivo embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,36.091,/eRLlrhbdYE7XN6VtcZKy6o2BsOw.jpg,2021-07-30,Vivo,FALSE,7.312,674,"Animation,Family,Comedy",https://www.themoviedb.org/movie/449406
FALSE,/LOpxRdlb4oLiQIoVhLYbdBSc3U.jpg,ja,竜とそばかすの姫,"Suzu is a 17-year-old high-school student living in a rural town with her father. Wounded by the loss of her mother at a young age, Suzu one day discovers the massive online world ""U"" and dives into this alternate reality as her avatar, Belle. Before long, all of U's eyes are fixed on Belle, when, suddenly, a mysterious, dragon-like figure appears before her.",39.362,/fYHOD4pxZQk4rsP2tQrZI5uBlZV.jpg,2021-07-16,Belle,FALSE,7.737,675,"Animation,Science Fiction,Family",https://www.themoviedb.org/movie/776305
FALSE,/jBUukLTCmXL79itbmK5JtQvImYS.jpg,en,"The Simpsons: The Good, the Bart, and the Loki",Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfield’s mightiest heroes. The God of Mischief teams up with Bart Simpson in the ultimate crossover event paying tribute to the Marvel Cinematic Universe of superheroes and villains.,43.594,/rtMdtzywcAGOrF6t8fbxJBqpdcq.jpg,2021-07-07,"The Simpsons: The Good, the Bart, and the Loki",FALSE,7.312,642,"Animation,Comedy,Family",https://www.themoviedb.org/movie/846214
FALSE,/8s4h9friP6Ci3adRGahHARVd76E.jpg,en,Space Jam: A New Legacy,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",83.714,/5bFK5d3mVTAvBCXi5NPWH0tYjKl.jpg,2021-07-08,Space Jam: A New Legacy,FALSE,6.78,3841,"Family,Animation,Comedy,Science Fiction",https://www.themoviedb.org/movie/379686
FALSE,/yBov7O4eXDcBLDpZrOHZzFr8rIl.jpg,en,The Boss Baby: Family Business,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,85.402,/kv2Qk9MKFFQo4WQPaYta599HkJP.jpg,2021-07-01,The Boss Baby: Family Business,FALSE,7.397,2416,"Animation,Comedy,Adventure,Family",https://www.themoviedb.org/movie/459151
FALSE,/uS9apevOgs2fuYghf9szOoK1u63.jpg,en,"Batman: The Long Halloween, Part One","Following a brutal series of murders taking place on Halloween, Thanksgiving, and Christmas, Gotham City's young vigilante known as the Batman sets out to pursue the mysterious serial killer alongside police officer James Gordon and district attorney Harvey Dent.",29.117,/sR7gppb0YGjwLvE6Vnj6wYv5MnW.jpg,2021-06-21,"Batman: The Long Halloween, Part One",FALSE,7.47,574,"Animation,Mystery,Action,Crime",https://www.themoviedb.org/movie/736073
FALSE,/620hnMVLu6RSZW6a5rwO8gqpt0t.jpg,en,Luca,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,108.897,/9x4i9uKGXt8IiiIF5Ey0DIoY738.jpg,2021-06-17,Luca,FALSE,7.84,7970,"Animation,Comedy,Fantasy,Adventure,Family",https://www.themoviedb.org/movie/508943
FALSE,/8LHSDyRizQ4kQz5rEHPKyXPvMG3.jpg,en,Justice Society: World War II,"When the Flash finds himself dropped into the middle of World War II, he joins forces with Wonder Woman and her top-secret team known as the Justice Society of America.",26.837,/e4REOC6CZW8J6FslA4nRvdQXFXR.jpg,2021-04-27,Justice Society: World War II,FALSE,7.472,524,"Animation,War,Science Fiction",https://www.themoviedb.org/movie/736069
FALSE,/6ydGnzbo8s4yRNqQWPAvVSiNU8N.jpg,en,The Mitchells vs. the Machines,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",53.666,/mI2Di7HmskQQ34kz0iau6J1vr70.jpg,2021-04-22,The Mitchells vs. the Machines,FALSE,7.914,2758,"Animation,Adventure,Comedy",https://www.themoviedb.org/movie/501929
FALSE,/rlNnwObbMu5G2FaOUlacnUIdIIA.jpg,fr,"Miraculous World : Shanghai, la légende de Ladydragon","On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",38.867,/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg,2021-05-15,Miraculous World: Shanghai – The Legend of Ladydragon,FALSE,7.9,608,"Animation,Fantasy,Action,TV Movie",https://www.themoviedb.org/movie/726684
FALSE,/5HjzYTihkH7EvOWSE7KcsF6pBMM.jpg,en,Peter Rabbit 2: The Runaway,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",60.162,/cycDz68DtTjJrDJ1fV8EBq2Xdpb.jpg,2021-03-25,Peter Rabbit 2: The Runaway,FALSE,7.129,742,"Family,Comedy,Adventure,Animation,Fantasy",https://www.themoviedb.org/movie/522478
FALSE,/1EAxNqdkVnp48a7NUuNBHGflowM.jpg,ja,シン・エヴァンゲリオン劇場版:||,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",52.126,/md5wZRRj8biHrGtyitgBZo7674t.jpg,2021-03-08,Evangelion: 3.0+1.0 Thrice Upon a Time,FALSE,8.252,740,"Animation,Action,Science Fiction,Drama",https://www.themoviedb.org/movie/283566
FALSE,/rcUcYzGGicDvhDs58uM44tJKB9F.jpg,en,Raya and the Last Dragon,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",95.418,/lPsD10PP4rgUGiGR4CCXA6iY0QQ.jpg,2021-03-03,Raya and the Last Dragon,FALSE,7.865,6500,"Animation,Family,Fantasy,Action,Adventure",https://www.themoviedb.org/movie/527774
FALSE,/9ns9463dwOeo1CK1JU2wirL5Yi1.jpg,en,Tom & Jerry,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",63.328,/8XZI9QZ7Pm3fVkigWJPbrXCMzjq.jpg,2021-02-10,Tom & Jerry,FALSE,6.813,2365,"Comedy,Family,Animation",https://www.themoviedb.org/movie/587807
FALSE,/4kIRrW1AlHP5Idne8CPHeQt8nR5.jpg,en,Wish Dragon,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,58.071,/lnPf6hzANL6pVQTxUlsNYSuhT5l.jpg,2021-01-15,Wish Dragon,FALSE,7.926,1228,"Animation,Family,Comedy,Fantasy",https://www.themoviedb.org/movie/550205
FALSE,/ytTQoYkdpsgtfDWrNFCei8Mfbxu.jpg,en,The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",80.953,/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg,2020-11-25,The Croods: A New Age,FALSE,7.497,3649,"Animation,Family,Adventure,Fantasy,Comedy",https://www.themoviedb.org/movie/529203
FALSE,/iEIcBVnttD9KOnpxtN1adVqKQkv.jpg,en,Once Upon a Snowman,"The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olaf’s first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.",47.669,/hddzYJtfYYeMDOQVcH58n8m1W3A.jpg,2020-10-23,Once Upon a Snowman,FALSE,6.924,508,"Animation,Family,Comedy,Fantasy",https://www.themoviedb.org/movie/741074
FALSE,/qjGrUmKW78MCFG8PTLDBp67S27p.jpg,ja,劇場版「鬼滅の刃」無限列車編,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",125.835,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,FALSE,8.232,3642,"Action,Animation,Adventure,Fantasy,Thriller",https://www.themoviedb.org/movie/635302
FALSE,/vwYI3vWEwFs40HfmSQzPcGMVYfD.jpg,en,Over the Moon,"Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess.",48.88,/lG0TF0wj1n9p9CPy5xlIUIkF56a.jpg,2020-10-16,Over the Moon,FALSE,7.212,1238,"Animation,Adventure,Family,Fantasy",https://www.themoviedb.org/movie/560050
FALSE,/2BZ7PC9aISswNXV2tugmjGiriaB.jpg,fr,"Miraculous World : New York, les héros unis","Marinette’s class is headed to New York, the city of superheroes, for French-American Friendship Week. The whole class is there...except Adrien, whose father refuses to let him go!",41.04,/9YbyvcrHmY2SVbdfXpb8mC4Fy0g.jpg,2020-09-25,"Miraculous World: New York, United HeroeZ",FALSE,8.136,1055,"Animation,TV Movie,Fantasy,Action",https://www.themoviedb.org/movie/755812
FALSE,/yeJhRNtE4XW2lOoVVFO9iuDr3AL.jpg,en,Wolfwalkers,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",23.953,/ehAKuE48okTuonq6TpsNQj8vFTC.jpg,2020-10-26,Wolfwalkers,FALSE,8.206,1093,"Animation,Family,Adventure,Fantasy",https://www.themoviedb.org/movie/441130
