title,original_title,studio,associate_studios,original_language,tmdb_release_date,IAD_release_date,genres,poster_path,IAD_link,tmdbUrl
Resident Evil: Vendetta,バイオハザード ヴェンデッタ,Marza Animation Planet,,Japanese,2017-05-27,2017-05-27,"Horror,Adventure,Action,Science Fiction",/r27iDZNaoyLJyKlD8eNchRtvq8C.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=79035,https://www.themoviedb.org/movie/400136
Tea Pets,阿唐奇遇,Light Chaser Animation Studio,,Chinese,2017-07-21,2017-07-21,"Adventure,Family",/m8ku8TwbZaiXGbxeE8is8jHeadw.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83144,https://www.themoviedb.org/movie/458186
Alpha and Omega: Journey to Bear Kingdom,Alpha and Omega: Journey to Bear Kingdom,Splash Entertainment,,English,2017-05-19,2017-05-09,Other,/7rS7thHbCPE2tuNf324tUQnVIAQ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56803,https://www.themoviedb.org/movie/459165
DC Super Hero Girls: Intergalactic Games,DC Super Hero Girls: Intergalactic Games,Warner Bros.,Digital eMation,English,2017-05-09,2017-05-23,Family,/9BkNrjD9fAlp0lo9Kw8Ky4qcnKq.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=45014,https://www.themoviedb.org/movie/452931
Fairy Tail: Dragon Cry,劇場版 FAIRY TAIL 『DRAGON CRY』,A-1 Pictures,,Japanese,2017-05-06,2017-05-06,"Action,Adventure,Comedy,Fantasy",/4CtvjdvuRj3iPlvtpvFomhTxjXR.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83614,https://www.themoviedb.org/movie/433422
The Swan Princess: Royally Undercover,The Swan Princess: Royally Undercover,StreetLight Animation,,English,2017-03-26,2017-03-28,"Family,Adventure,Comedy,Mystery",/yZDePc6NwkwBdrWejjBCG8AWoYF.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56805,https://www.themoviedb.org/movie/443484
Smurfs: The Lost Village,Smurfs: The Lost Village,Sony Pictures Animation,Sony Pictures Imageworks,English,2017-03-23,2017-04-07,"Family,Adventure,Comedy",/swt9crREg1UcKgg3wGWfoFNlXOz.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=42589,https://www.themoviedb.org/movie/137116
Eddie's Life Coach,Eddie's Life Coach,Illumination Entertainment,Illumination Mac Guff,English,2017-03-21,2017-03-21,Family,/83S1bUFM0XvHsHofydhzOO7ebnK.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=51006,https://www.themoviedb.org/movie/449655
Love at First Sight,Love at First Sight,Illumination Entertainment,Illumination Mac Guff,English,2017-03-21,2017-03-21,"Comedy,Family,Romance",/ae8wyeMtZZObUajkPlbEm61qFEw.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=51005,https://www.themoviedb.org/movie/449124
Lou,Lou,Pixar,,English,2017-06-16,2017-06-16,"Family,Fantasy",/zAQmOmQPWyvU34B3gcK163P4jmH.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=51000,https://www.themoviedb.org/movie/433471
Napping Princess,ひるね姫 ～知らないワタシの物語～,Signal.MD,"Madhouse, Dr Movie, Production I.G, Xebec, Oh! Production, Nakamura Production, Studio Easter, MARU Animation, Akatsuki, Satelight, Silver Link, Kusanagi, CL Corporation, Yapiko Animation, Graphinica",Japanese,2017-03-18,2017-03-18,"Fantasy,Adventure,Drama,Science Fiction",/9d27l5z9B2zyqoEtKkieBcbclMG.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=57141,https://www.themoviedb.org/movie/428288
Scooby-Doo! Shaggy's Showdown,Scooby-Doo! Shaggy's Showdown,Warner Bros.,Digital eMation,English,2017-02-14,2017-02-14,"Family,Mystery,Comedy,Western",/rqw4Cis6dliACGzaejR5icXjA52.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=39789,https://www.themoviedb.org/movie/427564
