title,original_title,studio,associate_studios,original_language,tmdb_release_date,IAD_release_date,genres,poster_path,IAD_link,tmdbUrl
Dragon Ball Z: Battle of Gods,ドラゴンボールZ 神と神,Toei Animation,"Tezuka Productions, Studio Live, Studio Easter, Toei Animation Philippines, Asahi Production, Kagura, Studio Graffiti, Triple A, Buyu, Studio Pablo, Studio Zaendou, Sanko Production, Kusanagi, Graphinica",Japanese,2013-03-30,2013-03-30,"Action,Science Fiction",/nxZEdYcHMuD8SSuwusDnK9CD2H1.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=62180,https://www.themoviedb.org/movie/126963
Curious George Swings Into Spring,Curious George Swings Into Spring,Imagine Entertainment,"Toon City, Inc.",English,2013-03-15,2013-04-22,Family,/kh3aLGnQobkfVWcIQwhT1nJyF5M.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=30358,https://www.themoviedb.org/movie/270029
The Blue Umbrella,The Blue Umbrella,Pixar,,English,2013-02-12,2013-06-21,Romance,/iSWV7ra8HJ3gYnZFMMrPe8CBbrv.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=9798,https://www.themoviedb.org/movie/200481
Dino Time,Dino Time,Myriad Pictures,"Toiion Animation Studios, Atomic Cartoons",English,2012-12-07,2012-02-01,"Adventure,Comedy,Family",/pzOkddFfLexWtTozMMvPDUNe0AK.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80063,https://www.themoviedb.org/movie/136793
The Legend of Mor'du,The Legend of Mor'du,Pixar,,English,2012-11-13,2012-11-13,Family,/kqJZ5rj0ORGBNCURLzV3wykh3pR.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=73642,https://www.themoviedb.org/movie/141423
Psychic School Wars,ねらわれた学園,Sunrise,"Madhouse, Telecom Animation Film Co., Ltd., Shaft, Tezuka Productions, Doga Kobo, Studio Hibari, Atelier BWCA, P.A. Works, M.S.J. Musashino Production, Anitus Kobe, A-Line, Xenlon, Fan Out, Triple A, Studio Fantasia, Yuhodo, Studio Loft, Satelight, Kino Production, Silver Link, Acca Effe, G&amp;G Direction, Tokyo Animation Center, Fizz Sound Creation",Japanese,2012-11-09,2012-11-10,"Drama,Romance,Science Fiction",/1uNF6PN576T8ajHyC5QGKXj9gQO.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56062,https://www.themoviedb.org/movie/135915
The Reef 2: High Tide,The Reef 2: High Tide,WonderWorld Studios,,English,2012-10-19,2012-10-30,Family,/3ZmLU8yQ7R63lmjImnJzItb0jM7.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80130,https://www.themoviedb.org/movie/132601
Scooby-Doo! Haunted Holidays,Scooby-Doo! Haunted Holidays,Warner Bros. Television,"Digital eMation, Advantage Audio, Salami Studios",English,2012-10-16,2012-10-16,"Mystery,Adventure,Comedy,Family",/pDKhj7YzzqBr0ZIYtC2eF4i2ZIm.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=43879,https://www.themoviedb.org/movie/245881
Big Top Scooby-Doo!,Big Top Scooby-Doo!,Warner Bros.,Digital eMation,English,2012-10-09,2012-10-09,"Family,Comedy,Mystery",/i0zImtsknzWLl5OvAQ23Y3gfEYZ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=35315,https://www.themoviedb.org/movie/119321
Monster High: Ghouls Rule,Monster High: Ghouls Rule,Nerd Corps Entertainment,,English,2012-10-09,2012-10-09,Family,/iWGDQ7MK90HOA7p9eWl194kuTx3.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77934,https://www.themoviedb.org/movie/134632
Tom and Jerry: Robin Hood and His Merry Mouse,Tom and Jerry: Robin Hood and His Merry Mouse,Warner Bros.,"Yearim Productions Co., Ltd., Advantage Audio",English,2012-10-02,2012-09-28,"Comedy,Adventure,Family",/qVFVRLNrccHdPHqrrqtKT0L6oWs.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=36988,https://www.themoviedb.org/movie/134623
Forces of Nature,Forces of Nature,Illumination Entertainment,,English,2012-08-07,2012-08-07,Comedy,/iBp6DVHCDSSdxJe8r8RalGjSTO6.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15047,https://www.themoviedb.org/movie/125453
Wagon Ho!,Wagon Ho!,Illumination Entertainment,,English,2012-08-07,2012-08-07,Family,/jc12LrjgAFccxuHic2zBNkgUYfr.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15046,https://www.themoviedb.org/movie/125448
Serenade,Serenade,Illumination Entertainment,,English,2012-08-07,2012-08-07,Other,/aq322FLkWtJwvWRbPBJJjF4zKxG.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15048,https://www.themoviedb.org/movie/125445
ParaNorman,ParaNorman,Laika,,English,2012-08-03,2012-08-17,"Family,Adventure,Comedy",/9DZPtuYTKYxt6vzHvZ5FLThG4fl.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=24941,https://www.themoviedb.org/movie/77174
A Turtle's Tale 2: Sammy's Escape from Paradise,A Turtle's Tale 2: Sammy's Escape from Paradise,nWave Pictures,,English,2012-08-01,2012-08-15,Adventure,/br7BxWeKDKCPExIIN6ePoCLe07z.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48453,https://www.themoviedb.org/movie/113594
Road to Ninja: Naruto the Movie,ROAD TO NINJA -NARUTO THE MOVIE-,Studio Pierrot,"Dragon Production, ""Brains Base""",Japanese,2012-07-28,2012-07-28,"Fantasy,Action",/xLal6fXNtiJN6Zw6qk21xAtdOeN.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=82960,https://www.themoviedb.org/movie/118406
Wolf Children,おおかみこどもの雨と雪,Studio Chizu,"OLM, Inc., Madhouse, Studio 4°C, Dr Movie, Studio Khara, Studio Deen, Oh! Production, White Fox, Studio Hibari, P.A. Works, Tatsunoko Production, Seigasha, Studio Easter, Asahi Production, A-Line, Studio Elle, Wafu Animation, Studio Cockpit, Triple A, Studio Fantasia, Studio Wyeth, Satelight, Wao World, Silver Link, G&amp;G Direction, Kinema Citrus, Magic Bus, Kyushu Animation, P.T.C. Magic, Rising Force, Studio Takuranke",Japanese,2012-07-21,2012-06-25,"Family,Drama,Fantasy",/3Nllh6JgcrFdtOn6iFOWHudNInd.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=53975,https://www.themoviedb.org/movie/110420
Scooby-Doo! Spooky Games,Scooby-Doo! Spooky Games,Warner Bros.,Digital eMation,English,2012-07-17,2012-07-17,"Mystery,Family,Comedy",/3zlCZ6n5XTQkw0uU9qwJoCcR73t.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=39276,https://www.themoviedb.org/movie/284908
Monster High: Friday Night Frights,Monster High: Friday Night Frights,Nerd Corps Entertainment,,English,2012-07-13,2012-07-13,Family,/uqZHaek1t96silSuwEEeEo86qE9.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77933,https://www.themoviedb.org/movie/166747
Zambezia,Zambezia,Triggerfish Animation Studios,,English,2012-06-05,2012-07-03,"Comedy,Adventure,Family",/7aJl440TlbyqthklVrvCnSbjKYe.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=73660,https://www.themoviedb.org/movie/133931
Blood-C: The Last Dark,Blood-C The Last Dark,Production I.G,,Japanese,2012-06-02,2012-06-02,"Action,Horror,Science Fiction",/nGGjseakR3l4SoevlvNWvVjmf3A.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=82067,https://www.themoviedb.org/movie/171823
Scooby-Doo! Music of the Vampire,Scooby-Doo! Music of the Vampire,Warner Bros.,Digital eMation,English,2012-03-07,2012-03-13,"Family,Mystery,Adventure,Comedy,Fantasy",/4JvEyQke4gQSSImml50vsa0KQdS.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=39124,https://www.themoviedb.org/movie/81900
The Lorax,The Lorax,Illumination Entertainment,Skywalker Sound,English,2012-03-01,2012-03-02,Family,/tePFnZFw5JvjwjQjaKkqDPNMLPU.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15025,https://www.themoviedb.org/movie/73723
Monster High: Escape from Skull Shores,Monster High: Escape from Skull Shores,Nerd Corps Entertainment,Mattel,English,2012-02-16,2012-04-13,"Family,Fantasy",/ddyQjIlKdBtw7kWQ6lZofxOCIJU.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77807,https://www.themoviedb.org/movie/167666
Monster High: Why Do Ghouls Fall in Love?,Monster High: Why Do Ghouls Fall in Love?,Nerd Corps Entertainment,Mattel,English,2012-02-12,2012-02-12,Fantasy,/ehsu0cjPtivGSHn0tuoFpRXKpuN.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77806,https://www.themoviedb.org/movie/167313
Daffy's Rhapsody,Daffy's Rhapsody,Warner Bros.,Reel FX,English,2012-02-10,2012-02-10,Comedy,/8gPamvM4Q3cCc5pIfKCIsxq4iCN.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=7847,https://www.themoviedb.org/movie/103977
A Letter to Momo,ももへの手紙,Production I.G,"Studio Ghibli, Telecom Animation Film Co., Ltd., Studio Pierrot, Xebec, Gainax, APPP, Shaft, Tezuka Productions, Oh! Production, Doga Kobo, P.A. Works, Ufotable, Tatsunoko Production, Studio Elle, Studio Mu, GoHands, Satelight, Studio Pastoral",Japanese,2012-04-21,2012-04-21,"Comedy,Fantasy,Drama,Family",/zDCinQ7NkgicoFtDisTZ3FYG0cL.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=55930,https://www.themoviedb.org/movie/100271
A Very Pink Christmas,A Very Pink Christmas,MGM,,English,2011-12-07,2011-12-07,Other,/kPCIfFmb3ffi87wmb8dP6VNumhT.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54002,https://www.themoviedb.org/movie/311218
The Smurfs: A Christmas Carol,The Smurfs: A Christmas Carol,Sony Pictures Animation,,English,2011-12-02,2011-12-02,"Comedy,Family",/1gjT65lS29BbclJlmGvtwnT7hya.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=85943,https://www.themoviedb.org/movie/79443
Happy Feet Two,Happy Feet Two,Village Roadshow Pictures,,English,2011-11-17,2011-11-18,"Comedy,Family",/2gWiQ4mn85jcXtREVePlVViupeV.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=41707,https://www.themoviedb.org/movie/65759
Arthur Christmas,Arthur Christmas,Aardman,"Sony Pictures Animation, Sony Pictures Imageworks",English,2011-11-10,2011-11-23,"Drama,Family,Comedy",/yF7SNheAGWavNnjbAronedwjC1N.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48097,https://www.themoviedb.org/movie/51052
Monster High: Fright On!,Monster High: Fright On!,WildBrain,"Top Draw Animation Inc., Mattel",English,2011-10-31,2011-10-30,"Family,Fantasy",/69AyLiBvC65GoEDCLFGWDxtnLQu.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77804,https://www.themoviedb.org/movie/227257
The Adventures of Tintin,The Adventures of Tintin,Weta Digital,Amblin Entertainment,English,2011-10-24,2011-12-21,"Adventure,Mystery",/mKYkNro2btaWMsnYSuyqrBdHQo3.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48234,https://www.themoviedb.org/movie/17578
The Princess and the Pilot,とある飛空士への追憶,TMS Entertainment,,Japanese,2011-10-01,2011-10-01,"Adventure,Drama,Romance",/vCA0vHemFhbNqAqlTQvoPoiRR2B.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=86048,https://www.themoviedb.org/movie/93013
Top Cat: The Movie,Don Gato y su pandilla,Anima Estudios,"Cartoon Saloon, Copernicus Studios Inc., Illusion Studios",Spanish,2011-09-16,2011-09-16,Other,/lAGz20axMrLuHIec3I1shCo0nnr.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=57128,https://www.themoviedb.org/movie/78570
The Smurfs,The Smurfs,Sony Pictures Animation,,English,2011-07-29,2011-07-29,"Family,Adventure,Comedy,Fantasy",/vRhnslP2gW0QDym7BsMeSuioUfK.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=73657,https://www.themoviedb.org/movie/41513
From Up on Poppy Hill,コクリコ坂から,Studio Ghibli,"The Answerstudio, Studio Khara, Oh! Production, Doga Kobo, Anime Torotoro, Nakamura Production, Asahi Production",Japanese,2011-07-16,2011-07-16,Drama,/rRLYX4RZIyloHSJwvZKAhphAjiB.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=20701,https://www.themoviedb.org/movie/83389
Heaven's Lost Property the Movie: The Angeloid of Clockwork,劇場版 そらのおとしもの 時計じかけの哀女神,AIC,,Japanese,2011-06-25,2011-06-25,"Comedy,Fantasy,Romance",/ilsAmVu36ilct2L6EP2GFDJrNaX.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83208,https://www.themoviedb.org/movie/95170
Thor: Tales of Asgard,Thor: Tales of Asgard,Marvel Animation,The Answerstudio,English,2011-05-16,2011-05-17,"Adventure,Action",/nM2rBqEMrAFiNFHXKWOhUgdKK45.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54064,https://www.themoviedb.org/movie/63686
Legend of the Millennium Dragon,鬼神伝,Studio Pierrot,,Japanese,2011-04-29,2011-04-29,"Adventure,Fantasy",/thIp92OiHGCl8CB8CmbwfgSQfmF.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83028,https://www.themoviedb.org/movie/74842
Crayon Shin-chan: Fierceness That Invites Storm! Operation Golden Spy,クレヨンしんちゃん 嵐を呼ぶ黄金のスパイ大作戦,Shin-Ei Animation,,Japanese,2011-04-16,2011-04-16,Other,/bXorDERG6ARfayQwKNCC4d37OWd.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81813,https://www.themoviedb.org/movie/163754
Hop,Hop,Illumination Entertainment,"Relativity Media, Rhythm &amp; Hues",English,2011-03-30,2011-04-01,"Comedy,Family",/2FrDmwXWjRE1zpNP288YncRt5RF.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=42829,https://www.themoviedb.org/movie/50359
Mars Needs Moms,Mars Needs Moms,ImageMovers Digital,,English,2011-03-09,2011-03-11,"Adventure,Family",/g94LNU4pipIUJLkTvYIgNGfT2J2.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=25076,https://www.themoviedb.org/movie/50321
Rango,Rango,Industrial Light &amp; Magic,Nickelodeon,English,2011-03-02,2011-03-04,"Comedy,Family,Western,Adventure",/vGujQOfGIaZx5UWxf9JdNEOxl7B.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44845,https://www.themoviedb.org/movie/44896
Animals United,Konferenz der Tiere,Ambient Entertainment,,German,2010-10-07,2010-10-07,"Family,Comedy",/gUCLetZNa3rZknSmLc2gGUdxWH7.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=65367,https://www.themoviedb.org/movie/50135
Fur of Flying,Fur of Flying,Warner Bros.,Reel FX,English,2010-09-24,2010-09-24,Comedy,/fnBecUruOZTDaJyO5HvNY7CiH1t.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=7588,https://www.themoviedb.org/movie/48741
Scooby-Doo! Camp Scare,Scooby-Doo! Camp Scare,Warner Bros.,"Digital eMation, Audio Circus",English,2010-09-14,2010-09-14,"Comedy,Family,Mystery",/zurVOCpOLwLTBknYlgcXHWE0xvu.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=33630,https://www.themoviedb.org/movie/45752
Tom and Jerry Meet Sherlock Holmes,Tom and Jerry Meet Sherlock Holmes,Warner Bros.,"Yearim Productions Co., Ltd.",English,2010-08-24,2010-08-24,"Comedy,Mystery,Family",/8TAd3Cky2D8dHzWIirna1IHa2N3.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=25096,https://www.themoviedb.org/movie/43956
Scott Pilgrim vs. the Animation,Scott Pilgrim vs. the Animation,Titmouse Inc.,,English,2010-08-10,2010-08-12,"Action,Comedy,Romance",/od3W75dkIqhQjVEz1D6calCNgGR.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83392,https://www.themoviedb.org/movie/48832
Coyote Falls,Coyote Falls,Warner Bros.,Reel FX,English,2010-07-30,2010-07-30,Comedy,/76rz994icSRNHBZuAHmsRwVROsy.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=7587,https://www.themoviedb.org/movie/48740
Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,Animal Logic,,English,2010-07-10,2010-09-24,"Adventure,Family,Fantasy",/zKY2nJPozrItOsSCkjgY7QPkLrE.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44844,https://www.themoviedb.org/movie/41216
Despicable Me,Despicable Me,Illumination Entertainment,,English,2010-07-08,2010-07-09,"Family,Comedy",/9lOloREsAhBu0pEtU0BgeR1rHyo.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15024,https://www.themoviedb.org/movie/20352
Space Chimps 2: Zartog Strikes Back,Space Chimps 2: Zartog Strikes Back,Vanguard Animation,Prana Animation Studios Inc.,English,2010-05-26,2010-10-05,Family,/pgqlYFpZkoc9zATZ0n9PXJXHv49.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=45981,https://www.themoviedb.org/movie/45662
Book Girl,劇場版 文学少女,Production I.G,"Ufotable, A-Line, Yuhodo, Silver Link, G&amp;G Direction, C2C, Diomedéa, ""Brains Base"", Studio Comet",Japanese,2010-05-01,2010-05-01,"Drama,Romance",/1qR1LjPZLdgjfkjQJWf9ppHifjJ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=82066,https://www.themoviedb.org/movie/60669
Crayon Shin-chan: Super-Dimension! The Storm Called My Bride,クレヨンしんちゃん 超時空！嵐を呼ぶオラの花嫁,Shin-Ei Animation,,Japanese,2010-04-17,2010-04-17,"Comedy,Family",/qHyfSoMeGk2x5gxeXq03GiKk5a4.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81812,https://www.themoviedb.org/movie/117352
Cheyenne Cinnamon and the Fantabulous Unicorn of Sugar Town Candy Fudge,Cheyenne Cinnamon and the Fantabulous Unicorn of Sugar Town Candy Fudge,Williams Street,Radical Axis,English,2010-03-29,2010-03-29,Comedy,/fCD2mt5m9ui4eNrnLmSL7VAFfFA.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80820,https://www.themoviedb.org/movie/767112
Freaknik: The Musical,Freaknik: The Musical,Williams Street,,English,2010-03-05,2010-03-07,Comedy,/oiY31bQfyriNLOK8TbtrSHgFf40.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=77946,https://www.themoviedb.org/movie/49211
Welcome to the Space Show,宇宙ショーへようこそ,A-1 Pictures,"Studio 4°C, Ashi Productions, Oh! Production, Doga Kobo, Anime Torotoro, Ufotable, Actas, Studio MARK, Studio Cockpit, Noside, Studio Wanpack, Studio Fantasia, Satelight, Wao World, Asread, G&amp;G Direction, Anihouse Sun, Graphinica, Jungle Gym, Diomedéa, Studio Takuranke, Vega Entertainment",Japanese,2010-02-18,2010-06-26,Science Fiction,/kZSzBnXU4Wk7HA5JSCrlnBK1pwp.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83607,https://www.themoviedb.org/movie/61591
Scooby-Doo! Abracadabra-Doo,Scooby-Doo! Abracadabra-Doo,Warner Bros.,"Digital eMation, Digipost.TV",English,2010-02-16,2010-02-16,"Comedy,Family,Mystery,Fantasy",/1cKL7mZW5shP9r9TlTNQX4doMQN.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=37415,https://www.themoviedb.org/movie/32916
Planet Hulk,Planet Hulk,Marvel Animation,"Madhouse, Moi Animation, Dr Movie",English,2010-02-02,2010-02-10,"Science Fiction,Action",/5wCzY3sAs6zHIzzHIcTKN2g0pu8.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54063,https://www.themoviedb.org/movie/30675
Magical Girl Lyrical Nanoha: The Movie 1st,魔法少女リリカルなのは The MOVIE 1st,Seven Arcs,,Japanese,2010-01-23,2010-01-23,"Drama,Action,Science Fiction",/ueSkyihvsnNRRv3SIKmmp69Y9Pl.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=88874,https://www.themoviedb.org/movie/50716
Redline,レッドライン,Madhouse,"Dr Movie, Studio Elle, Triple A",Japanese,2010-05-27,2010-10-09,"Action,Science Fiction",/yUkH0y9OsY7J08Dvfzi1P0di559.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=55024,https://www.themoviedb.org/movie/71883
Professor Layton and the Eternal Diva,レイトン教授と永遠の歌姫,"OLM, Inc.","Telecom Animation Film Co., Ltd., APPP, Bones, Oh! Production, P.A. Works, Ufotable, A-Line, Triple A, Yuhodo, Buyu, Silver Link, C2C",Japanese,2009-12-01,2009-12-19,"Family,Mystery",/1Fw2O9LEnowmhZ4z3Kh4I4IqJfJ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=79562,https://www.themoviedb.org/movie/41066
Planet 51,Planet 51,Ilion Animation Studios,HandMade Films,English,2009-11-19,2009-11-06,"Family,Comedy,Science Fiction,Adventure",/x7Itcg3ZdExKwdKguy73WPEqosW.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48098,https://www.themoviedb.org/movie/16866
"Ed, Edd n Eddy's Big Picture Show","Ed, Edd n Eddy's Big Picture Show",a.k.a. Cartoons,"Yeson Entertainment, MX Solutions Inc., dbc sound, Beans-N-Rice Editing",English,2009-11-08,2009-11-08,"Comedy,Adventure",/gO6egRDCLllV0pZ5Uch1hN3VQuI.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=12390,https://www.themoviedb.org/movie/50300
A Christmas Carol,A Christmas Carol,ImageMovers Digital,,English,2009-11-04,2009-11-03,"Family,Fantasy",/t41VHjYItCYHBh2hijsTID44cNv.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=25075,https://www.themoviedb.org/movie/17979
Astro Boy,Astro Boy,Imagi Animation Studios,"Margarita Mix, Soundelux",English,2009-10-15,2009-11-20,"Action,Family,Science Fiction",/nKiEA8Z81i2sWxhjs0pcNbs2Rmr.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44842,https://www.themoviedb.org/movie/16577
Fantastic Mr. Fox,Fantastic Mr. Fox,Twentieth Century Fox Film Corporation,"Regency, Indian Paintbrush",English,2009-10-23,2009-11-25,"Adventure,Comedy,Family",/t5v2Zsb5sa6PSP9jMUWY4GdIb3c.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=40992,https://www.themoviedb.org/movie/10315
Tales of Vesperia: The First Strike,テイルズ オブ ヴェスペリア～The First Strike～,Production I.G,"Bee Train, Inc., Studio Pierrot, Gainax, Oh! Production, Studio Fantasia, Yuhodo, GoHands, Silver Link, F.A.I. International, ""Brains Base"", Asahi Production, Sound Ring",Japanese,2009-10-03,2009-10-03,"Action,Adventure,Fantasy",/5oIfnzVPs497n0aOnWbOZOPOJzH.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=79563,https://www.themoviedb.org/movie/39319
Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs,Sony Pictures Animation,Sony Pictures Imageworks,English,2009-09-17,2009-09-18,"Comedy,Family",/qhOhIKf7QEyQ5dMrRUqs5eTX1Oq.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15029,https://www.themoviedb.org/movie/22794
The Strawberry Shortcake Movie: Sky's the Limit,The Strawberry Shortcake Movie: Sky's the Limit,MoonScoop,,English,2009-09-15,2009-09-15,Family,/jykaXMXn2zcItZyJrgDAdkz5X3W.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=74916,https://www.themoviedb.org/movie/25310
9,9,Starz Animation,Focus Features,English,2009-08-19,2009-09-09,"Action,Adventure,Science Fiction,Thriller",/3uqXGOH4BQ2CLJWkDJZ0PzbUzOn.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54313,https://www.themoviedb.org/movie/12244
Naruto Shippuden the Movie: The Will of Fire,劇場版 NARUTO -ナルト- 疾風伝 火の意志を継ぐ者,Studio Pierrot,,Japanese,2009-08-01,2009-08-01,"Action,Adventure,Comedy,Drama,Fantasy",/pZzdFmztwmg0FUOVCMa7vReHhQN.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=82957,https://www.themoviedb.org/movie/36728
Summer Wars,サマーウォーズ,Madhouse,"Dr Movie, Oh! Production, Tatsunoko Production, Studio Wyeth, Graphinica, 8bit",Japanese,2009-08-01,2009-08-01,Science Fiction,/yHy8TrRLnuBZ4t2C0l0pSpRXVHO.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=53976,https://www.themoviedb.org/movie/28874
Totally Spies! The Movie,Totally Spies! Le film,Marathon Media,Digital eMation,French,2009-07-22,2009-07-22,"Adventure,Comedy",/6Ivq3HCMSEe7e5SnqQHKHl2JbYS.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=90522,https://www.themoviedb.org/movie/74785
Runaway,Runaway,National Film Board of Canada,,English,2009-06-08,2009-06-08,Comedy,/ykFpV3yt7wubwrGwYFvzTxm4Dsr.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=61051,https://www.themoviedb.org/movie/159304
Crayon Shin-chan: Roar! Kasukabe Animal Kingdom,クレヨンしんちゃん オタケべ！カスカベ野生王国,Shin-Ei Animation,,Japanese,2009-04-18,2009-04-18,Comedy,/w0SeTVkKOniXbCeTxE3XVQ7JtQ5.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81811,https://www.themoviedb.org/movie/128887
Scooby-Doo! and the Samurai Sword,Scooby-Doo! and the Samurai Sword,Warner Bros.,"Lotto Animation, Salami Studios",English,2009-04-07,2009-04-07,"Family,Mystery,Comedy,Action,Fantasy",/qJ0UlWWrBn2fnAg4SifTJbDUuaf.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=39127,https://www.themoviedb.org/movie/16390
The Secret of Kells,The Secret of Kells,Les Armateurs,"Cartoon Saloon, Vivi Film, France 2 Cinema",English,2009-02-09,2009-02-11,"Family,Fantasy",/tmiufIvSssZ2cmYJbro99gZvn2H.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=30381,https://www.themoviedb.org/movie/26963
Robot Chicken: Star Wars Episode II,Robot Chicken: Star Wars Episode II,ShadowMachine Films,,English,2008-11-16,2008-11-16,"Science Fiction,Comedy",/dM5eCurdAXYd3Dvyr9Rz2YSj3rJ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=28183,https://www.themoviedb.org/movie/42982
Scooby-Doo! and the Goblin King,Scooby-Doo! and the Goblin King,Warner Bros.,Lotto Animation,English,2008-09-23,2008-09-23,"Adventure,Comedy,Family,Fantasy",/tWBCvtJRlZo83Pn5kF8HNrOiZnE.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=33632,https://www.themoviedb.org/movie/12903
One Piece: Romance Dawn Story,ワンピース ロマンス ドーン ストーリー,Toei Animation,"Studio Carpenter, M.S.J. Musashino Production, Studio Ayumu, Athens Art Studio, Studio Guts, Magic House, Shindo Production, Sanko Production",Japanese,2008-09-21,2008-11-24,"Adventure,Comedy",/ixdVlw2IrzZ9XzK2H8mREz4QkeA.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=64289,https://www.themoviedb.org/movie/422807
