movieId,minute,neutral,positive,negative
1588895,60,10,5,2
1588895,61,4,6,0
1588895,66,12,0,0
1588895,67,46,11,11
1588895,68,27,10,5
1588895,69,20,12,12
1588895,70,24,5,11
1588895,71,38,1,12
1588895,74,2,3,5
1588895,75,9,0,0
1588895,82,38,0,5
1588895,83,54,5,0
1588895,84,37,0,0
1588895,85,40,8,1
1588895,93,0,5,0
1588895,95,41,0,0
1588895,96,68,0,6
1588895,97,30,3,9
1588895,98,69,14,10
1588895,99,37,8,5
1588895,101,6,0,2
1588895,102,43,0,0
1588895,103,21,10,0
1588895,104,11,0,0
1588895,105,7,4,0
1588895,107,13,0,0
5013056,2,3,0,0
5013056,5,5,0,0
5013056,6,29,0,0
5013056,7,5,0,0
5013056,8,41,0,0
5013056,9,44,5,0
5013056,10,46,0,0
5013056,11,56,6,10
5013056,12,22,0,6
5013056,13,16,0,8
5013056,14,21,2,3
5013056,15,37,9,7
5013056,16,30,0,0
5013056,17,29,0,0
5013056,19,22,7,3
5013056,20,63,7,0
5013056,21,116,24,11
5013056,22,66,0,0
5013056,23,13,3,0
5013056,24,45,0,1
5013056,25,32,0,2
5013056,26,4,0,10
5013056,27,8,2,12
5013056,28,26,14,4
5013056,29,39,0,11
5013056,30,36,8,0
5013056,31,41,0,0
5013056,32,12,5,0
5013056,33,65,2,6
5013056,34,18,2,12
5013056,35,24,5,1
5013056,36,11,0,0
5013056,37,24,0,0
5013056,38,14,6,0
5013056,39,0,0,4
5013056,40,5,1,0
5013056,41,56,4,0
5013056,42,71,12,6
5013056,43,4,0,0
5013056,44,116,14,10
5013056,45,87,4,15
5013056,46,36,5,0
5013056,48,3,0,0
5013056,49,5,0,0
5013056,51,22,0,0
5013056,52,35,4,0
5013056,53,68,0,1
5013056,54,16,0,2
5013056,55,89,0,22
5013056,56,95,7,1
5013056,57,48,11,4
5013056,58,28,4,4
5013056,59,26,3,0
5013056,60,15,8,0
5013056,61,48,7,0
5013056,62,3,0,0
5013056,63,18,12,12
5013056,64,20,0,0
5013056,65,13,0,0
5013056,66,77,9,0
5013056,67,18,1,3
5013056,68,114,24,38
5013056,69,52,13,10
5013056,70,1,0,0
5013056,71,13,8,9
5013056,72,22,0,5
5013056,73,5,0,0
5013056,75,10,0,1
5013056,76,12,0,0
5013056,77,13,0,0
5013056,78,4,0,2
5013056,79,2,0,3
5013056,80,29,11,8
5013056,81,2,6,6
5013056,83,27,0,0
5013056,84,4,0,0
5013056,85,4,1,0
5013056,86,15,3,6
